run_date,run_id,primary_topic,article_count,high_confidence_count,medium_confidence_count,low_confidence_count,unknown_count,top_markets,top_sources
2026-07-19,20260719-235929-cfbed5f8,transaction_market,19,8,6,5,0,Los Angeles / California (4); California (3); Phoenix / Arizona (3); Other / Unknown (2); Nashville / Tennessee (1),Yield PRO (4); Commercial Observer (2); REBusiness Online (2); Connect CRE Phoenix (2); Connect CRE Apartments (2)
2026-07-19,20260719-235929-cfbed5f8,supply_demand,16,2,0,14,0,Other / Unknown (8); National (5); Dallas / Texas (1); New York City / New York (1); Miami / Florida (1),NAHB Eye on Housing - Multifamily (8); Multifamily Executive (3); Yield PRO (1); Connect CRE Apartments (1); Multifamily Dive (1)
2026-07-19,20260719-235929-cfbed5f8,gp_activity,14,0,0,1,13,Other / Unknown (5); National (2); Atlanta / Georgia (1); Sun Belt (1); Miami / Florida (1),Multifamily Dive (4); NAHB Eye on Housing - Multifamily (3); Connect CRE (1); Connect CRE Atlanta (1); Connect CRE South Florida (1)
2026-07-19,20260719-235929-cfbed5f8,development_pipeline,13,1,4,8,0,Atlanta / Georgia (3); Other / Unknown (3); San Francisco / California (2); Los Angeles / California (1); Dallas / Texas (1),Bisnow (2); HousingWire (2); NAHB Eye on Housing - Multifamily (2); Urbanize LA (1); Connect CRE Atlanta (1)
2026-07-19,20260719-235929-cfbed5f8,capital_markets,12,3,8,1,0,Miami / Florida (3); Washington DC (2); New York City / New York (1); National (1); Virginia (1),REBusiness Online (3); Connect CRE South Florida (3); Commercial Observer (2); Connect CRE Texas (2); Yield PRO (1)
2026-07-19,20260719-235929-cfbed5f8,institutional_capital,9,2,5,2,0,New York City / New York (2); New York (1); Houston / Texas (1); Riverside / California (1); Other / Unknown (1),REBusiness Online (4); Connect CRE (3); Connect CRE Orange County (2)
2026-07-19,20260719-235929-cfbed5f8,other,5,0,0,0,5,Other / Unknown (2); Texas (1); San Francisco / California (1); Santa Monica / California (1),SF YIMBY (3); Urbanize LA (2)
2026-07-19,20260719-235929-cfbed5f8,research_data,4,0,0,0,4,Los Angeles / California (2); Southeast (1); National (1),Urbanize LA (3); Bisnow (1)
2026-07-19,20260719-235929-cfbed5f8,macro_financing,3,0,0,0,3,Other / Unknown (3),NAHB Eye on Housing - Multifamily (2); Multifamily Executive (1)
2026-07-19,20260719-235929-cfbed5f8,entitlement_policy,1,0,1,0,0,Denver / Colorado (1),Commercial Observer (1)
